Date,LMT,CSCO,CVX,SO,NOC,SHOP,ICE,TMO,CRM,BK,JPM,ABBV,NEE,ADBE,JD,DUK,CCI,F,JNJ,QCOM,UPS,GE,NOW,WMT,SNOW,AMD,ZM,UBER,COF,CRWD,RTX,MS,BP,IBM,DDOG,LYFT,FDX,MU,ASML,SONY,MA,META,PYPL,GM,C,COP,TGT,INTU,PFE,MSFT,INTC,LOW,SCHW,AVGO,AAPL,CVS,PLD,TSLA,NKE,SLB,CAT,GOOG,XOM,MCD,AMZN,PDD,PANW,PG,ADP,UNH,BABA,HD,WFC,GS,DIS,SBUX,ORCL,AMT,SAP,NVDA,MDT,BAC,TXN,AXP,BA,DE,DOCU,KO,NFLX,BLK,COST,V,SPGI,PEP,MRK
2022-01-03,316.55279541015625,55.79827117919922,100.49931335449219,58.33756637573242,360.2309875488281,136.31399536132812,126.60900115966797,637.1536865234375,252.3933563232422,51.7888298034668,144.92950439453125,115.84721374511719,81.68898010253906,564.3699951171875,62.00297164916992,87.69770812988281,167.66236877441406,16.423316955566406,151.77000427246094,169.19271850585938,174.97666931152344,58.71171188354492,126.02799987792969,45.67168426513672,332.010009765625,150.24000549316406,184.25999450683594,43.95000076293945,137.42745971679688,198.3300018310547,79.16218566894531,86.9717025756836,22.098846435546875,115.51116180419922,163.8300018310547,44.59000015258789,236.48703002929688,93.65330505371094,765.4938354492188,24.69133758544922,361.8191833496094,335.9040222167969,193.90330505371094,58.87936782836914,54.11096954345703,63.20814514160156,202.59666442871094,614.1981201171875,45.36572265625,323.1607666015625,49.350486755371094,235.32858276367188,80.91637420654297,61.31610107421875,178.10366821289062,90.08736419677734,145.06275939941406,399.9266662597656,153.47998046875,28.821687698364258,191.70973205566406,143.8931427001953,54.76023864746094,243.72488403320312,170.4044952392578,56.099998474121094,90.70166778564453,146.3209228515625,222.2963409423828,465.8581848144531,114.32428741455078,366.88671875,45.60429382324219,355.345703125,153.1533203125,105.2989273071289,83.03218078613281,252.16786193847656,132.24960327148438,30.061138153076172,92.56993865966797,41.47975158691406,168.14833068847656,159.6219940185547,207.86000061035156,331.6358947753906,157.00999450683594,52.26766586303711,59.73699951171875,820.0728149414062,539.561279296875,214.41400146484375,444.7544860839844,151.24041748046875,67.46888732910156
2022-01-04,323.3688049316406,54.429752349853516,102.32794952392578,58.33756637573242,370.9389953613281,122.18599700927734,126.72246551513672,610.557861328125,245.25013732910156,53.63874816894531,150.4237518310547,115.62480926513672,80.81558990478516,554.0,58.25538635253906,87.62993621826172,163.1508026123047,18.33949851989746,151.3630828857422,170.1195068359375,178.08277893066406,60.621185302734375,120.78800201416016,44.83496856689453,315.5299987792969,144.4199981689453,179.85000610351562,44.41999816894531,140.03073120117188,189.19000244140625,81.93836975097656,90.50474548339844,23.05158805847168,117.1923828125,157.75999450683594,44.95000076293945,242.3043212890625,94.23038482666016,747.92822265625,25.139137268066406,366.1499328613281,333.90972900390625,190.12351989746094,63.27822494506836,54.53117752075195,65.94998931884766,204.53573608398438,601.4077758789062,43.668006896972656,317.6195068359375,49.28556442260742,239.28892517089844,84.87915802001953,62.018619537353516,175.84326171875,90.19979095458984,141.63194274902344,383.1966552734375,155.08311462402344,30.220972061157227,201.97134399414062,143.24050903320312,56.81998825073242,243.6614532470703,167.52200317382812,49.81999969482422,87.33333587646484,146.83287048339844,223.33482360839844,455.3033142089844,113.5455322265625,370.6575927734375,47.420196533203125,366.2668151855469,152.14700317382812,103.09693145751953,83.92013549804688,248.9890899658203,131.1927490234375,29.231788635253906,92.82296752929688,43.10552215576172,168.32473754882812,164.7462921142578,213.6300048828125,351.69830322265625,154.44000244140625,53.1402702331543,59.1150016784668,825.010986328125,537.2001953125,215.41134643554688,443.5198059082031,151.45899963378906,67.59176635742188
2022-01-05,319.92950439453125,53.56775665283203,102.99366760253906,58.406028747558594,369.0702209472656,119.0009994506836,125.13452911376953,611.0716552734375,224.9369659423828,53.266998291015625,147.6737060546875,116.23217010498047,79.96891784667969,514.4299926757812,57.184654235839844,87.82481384277344,152.10191345214844,17.849138259887695,152.37167358398438,169.45620727539062,175.84539794921875,60.621185302734375,114.552001953125,45.44118881225586,296.8699951171875,136.14999389648438,174.8800048828125,43.2400016784668,137.3533172607422,179.2899932861328,81.52877044677734,88.26512908935547,22.9062557220459,117.36219787597656,145.52000427246094,43.59000015258789,239.76153564453125,92.33287811279297,715.7529296875,25.145000457763672,364.696533203125,321.6459045410156,186.16468811035156,60.39057159423828,53.89658737182617,64.81897735595703,199.89767456054688,577.4611206054688,44.548892974853516,305.42669677734375,49.96261215209961,234.62860107421875,84.26585388183594,59.43775177001953,171.1658477783203,91.51441955566406,138.68490600585938,362.7066650390625,151.2244415283203,30.220972061157227,203.51797485351562,136.5325927734375,57.526695251464844,242.4635467529297,164.35699462890625,48.529998779296875,84.1433334350586,147.49757385253906,221.4308624267578,454.18109130859375,115.06504821777344,365.6297607421875,47.00666427612305,358.3119201660156,151.61944580078125,99.66758728027344,81.67194366455078,232.96334838867188,130.54739379882812,27.549137115478516,92.49140167236328,42.377960205078125,164.8135986328125,162.99072265625,213.07000732421875,352.418212890625,144.1699981689453,53.580970764160156,56.75199890136719,802.1195678710938,523.5758056640625,213.02931213378906,439.6037902832031,151.97483825683594,69.2330551147461
2022-01-06,319.804443359375,54.13649368286133,103.87007141113281,58.33756637573242,371.2005615234375,116.89299774169922,125.86229705810547,612.928955078125,226.39918518066406,54.25834655761719,149.24256896972656,115.68467712402344,76.43971252441406,514.1199951171875,60.59649658203125,87.6807632446289,155.36253356933594,18.45265769958496,151.84967041015625,168.95648193359375,177.5500946044922,60.975013732910156,114.80799865722656,45.31489944458008,297.0899963378906,136.22999572753906,176.3300018310547,42.029998779296875,139.6416473388672,187.49000549316406,81.97477722167969,89.77555084228516,23.261516571044922,114.91679382324219,143.88999938964844,43.599998474121094,240.73109436035156,93.55550384521484,732.5028686523438,24.07341957092285,361.36614990234375,329.8713684082031,191.2475128173828,60.51569366455078,55.66312789916992,67.25236511230469,202.07257080078125,570.3511352539062,43.916259765625,303.0133056640625,50.092464447021484,237.42849731445312,85.61508178710938,58.88589096069336,168.30850219726562,88.72947692871094,137.7348175048828,354.8999938964844,150.09664916992188,30.938796997070312,205.59251403808594,136.43092346191406,58.879737854003906,244.73220825195312,163.25399780273438,52.130001068115234,88.8183364868164,146.2580108642578,219.90948486328125,435.59429931640625,120.25988006591797,364.3009948730469,48.21128845214844,356.7838439941406,153.29010009765625,100.29931640625,81.8615493774414,233.24517822265625,128.125,28.121997833251953,91.58405303955078,43.23127746582031,164.7606658935547,164.4842987060547,211.33999633789062,356.500732421875,143.10000610351562,53.298912048339844,55.32899856567383,805.4654541015625,523.4614868164062,212.7872314453125,435.93853759765625,152.00985717773438,69.1891860961914
2022-01-07,321.71612548828125,54.323116302490234,105.36163330078125,58.73978042602539,374.1439208984375,114.447998046875,125.94737243652344,599.7595825195312,225.5692596435547,55.17002868652344,150.72129821777344,115.3852767944336,77.01008605957031,510.70001220703125,61.92129898071289,88.55357360839844,157.16226196289062,18.437570571899414,153.9022674560547,163.92276000976562,178.7958221435547,61.85958480834961,113.27799987792969,45.74745559692383,299.67999267578125,132.0,171.60000610351562,41.5099983215332,143.31031799316406,188.99000549316406,82.3206787109375,90.32245635986328,23.955890655517578,114.48374938964844,143.7899932861328,43.099998474121094,241.4628448486328,92.38175964355469,725.7645874023438,24.30807113647461,361.0243225097656,329.2065124511719,186.6023406982422,59.93817138671875,56.40918731689453,69.09455108642578,201.57469177246094,552.6770629882812,44.6209716796875,303.16778564453125,49.56380081176758,231.2576904296875,86.55860137939453,57.23310089111328,168.47486877441406,90.1133041381836,135.23646545410156,342.32000732421875,146.3032684326172,31.829242706298828,207.63002014160156,135.8888702392578,59.362369537353516,242.34556579589844,162.5540008544922,55.900001525878906,87.5816650390625,146.17718505859375,217.58633422851562,425.3455505371094,123.2799072265625,353.39239501953125,49.23609924316406,357.3052673339844,154.19871520996094,97.07755279541016,82.97088623046875,234.7332000732422,129.31280517578125,27.192852020263672,91.74981689453125,44.17440414428711,158.3029022216797,165.89227294921875,215.5,358.66998291015625,135.92999267578125,53.17552185058594,54.10599899291992,802.5691528320312,510.493896484375,210.08566284179688,430.91314697265625,152.20217895507812,70.47940826416016
2022-01-10,324.49420166015625,54.936283111572266,105.4290542602539,58.645633697509766,375.83514404296875,113.11699676513672,124.2933120727539,617.5130615234375,226.87342834472656,55.586029052734375,150.8655548095703,116.67700958251953,75.1207046508789,525.8300170898438,63.15536880493164,88.60442352294922,153.8855438232422,17.992475509643555,153.14137268066406,163.25949096679688,173.52601623535156,60.65167999267578,114.4000015258789,45.65904998779297,302.7300109863281,132.0,172.55999755859375,42.599998474121094,145.58934020996094,192.5,81.67440032958984,90.39188385009766,23.867076873779297,114.65357971191406,146.3300018310547,44.130001068115234,234.65771484375,91.83404541015625,697.9952392578125,24.08515167236328,355.4181823730469,325.51556396484375,181.97706604003906,58.783103942871094,56.623565673828125,69.4287109375,198.63995361328125,555.2379760742188,45.037391662597656,303.38983154296875,51.205421447753906,228.12625122070312,86.47370147705078,57.41889953613281,168.49441528320312,90.86576080322266,134.6118927001953,352.7066650390625,140.2169647216797,31.911020278930664,205.2683563232422,137.44557189941406,59.0090217590332,239.9408416748047,161.48599243164062,56.9900016784668,87.10166931152344,144.18316650390625,212.16590881347656,431.2814636230469,121.84587860107422,347.8708190917969,49.75749588012695,358.7973327636719,152.99700927734375,95.68775177001953,84.6490707397461,232.8224334716797,129.6401824951172,27.34554672241211,92.1511459350586,43.949851989746094,161.40829467773438,165.28346252441406,209.30999755859375,359.8161315917969,136.22999572753906,53.26365661621094,53.98500061035156,785.542236328125,493.9466552734375,205.25375366210938,419.9559020996094,152.2808837890625,72.29623413085938
2022-01-11,325.289306640625,55.425045013427734,107.83914947509766,57.8925666809082,374.31207275390625,115.73100280761719,124.7186279296875,613.02783203125,232.0208740234375,55.82501983642578,151.01885986328125,117.1731948852539,75.56632995605469,529.8900146484375,69.65238952636719,87.47737884521484,151.3997344970703,18.369672775268555,151.51344299316406,168.45669555664062,173.1490478515625,62.097511291503906,115.68800354003906,45.52959442138672,301.2699890136719,137.30999755859375,175.97000122070312,43.619998931884766,146.8492889404297,196.11000061035156,82.57552337646484,91.94572448730469,24.658342361450195,112.81952667236328,148.60000610351562,44.5,233.73391723632812,92.13723754882812,699.9053344726562,24.701114654541016,357.74273681640625,331.7664489746094,190.5015106201172,59.158504486083984,57.54972839355469,71.62218475341797,198.7534637451172,563.5443725585938,45.39774703979492,304.0751953125,51.85465621948242,229.79327392578125,88.6060791015625,57.50117874145508,171.32240295410156,91.71337127685547,134.58554077148438,354.79998779296875,140.08651733398438,33.146759033203125,203.7032012939453,138.8773193359375,61.491065979003906,237.86273193359375,165.36199951171875,60.02000045776367,87.67500305175781,142.5124053955078,214.3431854248047,434.9913635253906,125.54019927978516,347.1615295410156,50.395755767822266,362.2847900390625,154.25730895996094,93.8918685913086,83.89056396484375,229.37074279785156,129.80850219726562,27.761716842651367,94.13168334960938,44.20135498046875,162.89035034179688,166.84361267089844,216.02000427246094,360.4697570800781,142.1300048828125,53.28128433227539,54.08399963378906,798.8994750976562,497.0218200683594,207.5873565673828,425.3862609863281,152.21090698242188,71.6818618774414
2022-01-12,322.7523193359375,55.202880859375,107.29983520507812,58.00381851196289,369.5748291015625,116.8759994506836,126.16477966308594,617.6712646484375,234.97496032714844,56.249881744384766,151.87542724609375,117.44695281982422,75.83370208740234,532.3699951171875,69.32572937011719,87.80787658691406,152.876708984375,18.460201263427734,150.22171020507812,169.38348388671875,173.10804748535156,62.372039794921875,114.6780014038086,45.28963088989258,307.1400146484375,137.47000122070312,170.64999389648438,43.040000915527344,147.1086883544922,187.97000122070312,82.89411163330078,89.45437622070312,25.18315887451172,113.43087005615234,146.3300018310547,42.380001068115234,234.34669494628906,93.02733612060547,712.3933715820312,24.86341667175293,358.7388916015625,330.6651916503906,186.2044677734375,58.74460983276367,57.69549560546875,72.31623077392578,196.06324768066406,562.122802734375,45.36572265625,307.2513427734375,51.69697952270508,230.91693115234375,89.46466064453125,57.49654769897461,171.76272583007812,91.48849487304688,134.805419921875,368.739990234375,141.86671447753906,33.1194953918457,205.9722137451172,140.49453735351562,61.31009292602539,236.77378845214844,165.20700073242188,60.380001068115234,88.66999816894531,142.82681274414062,213.7510223388672,439.369140625,130.49758911132812,349.6125793457031,50.7014045715332,350.8334045410156,154.16940307617188,93.73845672607422,83.72938537597656,228.4021759033203,131.0804901123047,27.94335174560547,95.05651092529297,43.8869743347168,164.1166534423828,165.97793579101562,217.4499969482422,356.3966064453125,139.25,53.360618591308594,53.72200012207031,796.1289672851562,500.6111145019531,208.87525939941406,431.9645080566406,152.04481506347656,71.26932525634766
2022-01-13,326.2183532714844,54.65192413330078,106.85318756103516,58.491607666015625,371.5182800292969,106.43599700927734,122.45960235595703,593.6539916992188,225.88543701171875,56.33839797973633,151.68603515625,115.40711212158203,75.66435241699219,516.9000244140625,64.82500457763672,88.2569808959961,151.23028564453125,18.875125885009766,149.3104248046875,167.08473205566406,172.49342346191406,62.506248474121094,104.25199890136719,45.93058395385742,291.760009765625,132.74000549316406,162.10000610351562,42.869998931884766,149.4989013671875,174.89999389648438,83.34011840820312,89.02035522460938,25.20737648010254,114.42430877685547,135.1300048828125,42.599998474121094,235.68214416503906,93.52615356445312,700.7884521484375,24.403888702392578,360.8973083496094,323.9378967285156,180.04739379882812,59.45689392089844,58.124271392822266,71.64789581298828,197.25112915039062,538.4210205078125,44.47682189941406,294.2476501464844,50.95500564575195,230.89849853515625,88.10598754882812,55.20315933227539,168.49441528320312,91.1079330444336,134.7262725830078,343.85333251953125,139.42469787597656,32.86508560180664,210.23243713378906,137.99806213378906,60.87055969238281,237.2184295654297,161.21400451660156,57.619998931884766,83.0999984741211,142.18006896972656,211.29129028320312,433.5351867675781,124.76143646240234,347.4398498535156,50.341819763183594,351.2738342285156,151.86370849609375,92.41180419921875,83.23636627197266,224.92404174804688,127.1148910522461,26.522186279296875,94.9081802368164,43.79714584350586,162.4580841064453,164.85533142089844,223.89999389648438,360.318115234375,130.58999633789062,53.67793273925781,51.91999816894531,780.361328125,492.1186218261719,208.18772888183594,420.80462646484375,152.28961181640625,71.37464904785156
2022-01-14,332.8646240234375,54.52750778198242,108.67341613769531,58.75689697265625,376.97509765625,110.29100036621094,119.66182708740234,587.6373291015625,228.4542236328125,56.29414367675781,142.36289978027344,117.43828582763672,74.14927673339844,520.5999755859375,66.89389038085938,88.16378784179688,148.62338256835938,19.00337028503418,148.49647521972656,171.44606018066406,169.27249145507812,62.93328857421875,106.2040023803711,45.80112838745117,289.5899963378906,136.8800048828125,159.72000122070312,41.5099983215332,148.74850463867188,176.6999969482422,84.04098510742188,85.83451843261719,25.869455337524414,113.95731353759766,138.27999877929688,41.2599983215332,234.35585021972656,95.22804260253906,714.6588134765625,24.401931762695312,363.4561767578125,329.315673828125,177.47116088867188,58.811981201171875,57.395362854003906,74.32120513916016,193.38172912597656,536.3467407226562,44.00434875488281,299.460693359375,51.659881591796875,224.1750946044922,90.13455963134766,55.12736129760742,169.3555450439453,91.8690414428711,134.36558532714844,349.8699951171875,138.1105499267578,34.35523223876953,212.0291748046875,138.64820861816406,61.939247131347656,233.86080932617188,162.13800048828125,60.40999984741211,83.18499755859375,143.5453643798828,208.39425659179688,434.703857421875,124.95138549804688,333.9904479980469,52.19367980957031,342.4111328125,148.44422912597656,90.35420227050781,83.14154052734375,220.67990112304688,129.911376953125,26.88845443725586,94.7074966430664,43.03366470336914,164.98118591308594,160.2033233642578,225.9600067138672,359.53192138671875,130.44000244140625,54.10980987548828,52.569000244140625,763.2893676757812,478.8939514160156,207.8682098388672,417.0331726074219,153.56613159179688,71.42729949951172
